name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,num_lifts
Snow King,https://www.skiresort.info/ski-resort/snow-king-mountain-jackson/,105.0,6250,8002,1752,10,Wyoming,8
Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,264.0,7946,11214,3268,64,Colorado,9
Whitefish Mountain Resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,110.0,4465,6818,2352,57,Montana,16
Sugarbush,https://www.skiresort.info/ski-resort/sugarbush/,243.75,1483,4068,2585,53,Vermont,15
Sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,139.0,1398,4219,2822,54,Maine,15
Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,125.0,8599,10676,2077,47,New Mexico,7
Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,159.0,6230,7881,1650,12,,6
Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,175.0,6640,8852,2211,29,,14
Wolf Creek,https://www.skiresort.info/ski-resort/wolf-creek/,91.0,10299,11903,1604,62,Colorado,11
Purgatory,https://www.skiresort.info/ski-resort/purgatory-durango/,129.0,8793,10823,2031,53,Colorado,11
Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,119.0,1447,3150,1703,19,Vermont,6
Sugar Bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,244.0,6883,8383,1499,43,,13
Schweitzer Mountain Resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,150.0,3957,6398,2441,40,Idaho,10
Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,129.0,1847,3855,2008,47,Vermont,7
Okemo,https://www.skiresort.info/ski-resort/okemo/,207.0,1142,3343,2201,43,Vermont,21
Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,149.0,1919,3593,1673,37,Vermont,14
Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,107.0,7014,9416,2402,40,Montana,6
Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,169.0,6598,8497,1900,42,California,8
Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,219.0,6893,8901,2008,42,Utah,11
Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,129.0,1601,3100,1499,35,New Hampshire,8
Mount Rose,https://www.skiresort.info/ski-resort/mt-rose/,179.0,7897,9701,1804,37,,8
49 Degrees North,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,84.0,3924,5774,1850,42,Washington,7
Smugglers’ Notch,https://www.skiresort.info/ski-resort/smugglers-notch/,119.0,1030,3648,2618,48,Vermont,8
Alyeska,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,169.0,269,2756,2487,39,Alaska,7
Loveland,https://www.skiresort.info/ski-resort/loveland/,149.0,10646,12700,2054,58,Colorado,10
Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,109.0,997,3599,2602,36,New York,14
Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,187.0,7799,9800,2001,40,,13
Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,79.0,5797,7582,1785,31,Idaho,7
Bridger Bowl,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,97.0,6102,8799,2697,44,Montana,11
Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,119.0,1598,3199,1601,34,New York,12
Crystal Mountain (Washington),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,199.0,4400,7011,2612,31,Washington,11
Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,145.0,860,3051,2192,30,New Hampshire,13
Tamarack Resort,https://www.skiresort.info/ski-resort/tamarack-resort/,140.0,4888,7700,2812,26,Idaho,7
Ski Apache,https://www.skiresort.info/ski-resort/apache/,195.0,9600,11401,1801,34,New Mexico,11
Stevens Pass,https://www.skiresort.info/ski-resort/stevens-pass/,119.0,3839,5741,1903,24,Washington,10
Timberline (Oregon),https://www.skiresort.info/ski-resort/timberline/,149.0,4849,8540,3691,19,Oregon,9
Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,127.0,9199,11499,2300,23,Arizona,6
Windham Mountain,https://www.skiresort.info/ski-resort/windham-mountain/,225.0,1503,3100,1598,29,New York,8
Mount Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,89.0,3675,4954,1280,40,Oregon,9
Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,105.0,1499,2247,748,30,New York,13
Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,134.0,1965,4078,2113,31,New Hampshire,11
Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,144.0,600,2349,1749,23,New Hampshire,8
Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,65.0,5768,8150,2382,28,Montana,7
Brian Head,https://www.skiresort.info/ski-resort/brian-head/,97.0,9600,10919,1319,28,Utah,11
Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,105.0,863,1690,827,25,Minnesota,7
Wenatchee – Mission Ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,119.0,4567,6818,2251,22,Washington,4
Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,96.0,1949,3284,1335,28,Vermont,7
Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,199.0,9199,10801,1601,32,Colorado,10
Powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,119.0,8199,9843,1644,24,Colorado,3
Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,119.0,876,1998,1122,27,New Hampshire,6
Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,124.0,2001,3967,1965,19,Vermont,7
Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,125.0,5840,7638,1798,19,Idaho,5
White Pass,https://www.skiresort.info/ski-resort/white-pass/,75.0,4498,6516,2018,19,Washington,6
Lost Trail Powder Mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,,6430,8366,1936,31,Montana,8
Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,99.0,1598,3635,2037,29,Vermont,4
Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,99.0,7028,7779,751,32,,6
Sundance,https://www.skiresort.info/ski-resort/sundance/,159.0,6070,8251,2182,27,Utah,7
Gunstock,https://www.skiresort.info/ski-resort/gunstock/,109.0,866,2264,1398,25,New Hampshire,6
China Peak,https://www.skiresort.info/ski-resort/china-peak/,169.0,7044,8629,1585,31,California,10
Great Divide,https://www.skiresort.info/ski-resort/great-divide/,68.0,5748,7251,1503,31,Montana,6
Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,109.0,6598,8199,1601,31,California,9
Big Bear: Bear Mountain,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,169.0,7139,8806,1667,17,California,7
Mount Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,119.0,1263,2717,1453,19,New Hampshire,8
Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,77.0,2300,4101,6299,16,Idaho,6
Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,73.0,4501,6152,1650,25,Idaho,5
Ski Santa Fe,https://www.skiresort.info/ski-resort/santa-fe/,105.0,10348,12070,1722,21,New Mexico,5
Waterville Valley,https://www.skiresort.info/ski-resort/waterville-valley/,139.0,1985,4003,2018,16,New Hampshire,9
Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,119.0,1115,2231,1115,14,New Hampshire,4
Terry Peak,https://www.skiresort.info/ski-resort/terry-peak/,,5906,6988,1083,10,South Dakota,4
Camelback,https://www.skiresort.info/ski-resort/camelback/,99.0,1247,2044,797,21,Pennsylvania,9
Blue Mountain,https://www.skiresort.info/ski-resort/blue-mountain/,99.0,459,1542,1083,11,Pennsylvania,5
Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,70.0,7201,8858,1657,19,Utah,4
Wildcat Mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,144.0,1949,4062,2113,16,New Hampshire,5
Big Bear: Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,169.0,6726,7841,1115,21,California,9
Granite Peak,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,105.0,1247,1949,702,12,Wisconsin,5
Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,169.0,3281,4849,1568,19,West Virginia,14
The Highlands at Harbor Springs,https://www.skiresort.info/ski-resort/the-highlands-at-harbor-springs/,112.0,787,1339,551,16,Michigan,8
Saddleback,https://www.skiresort.info/ski-resort/saddleback/,139.0,2119,4003,1883,14,Maine,5
Big Bear: Snow Summit,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,169.0,6988,8202,1214,18,California,11
Willamette Pass,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,66.0,5118,6680,1562,18,Oregon,5
Timberline Mountain (West Virginia),https://www.skiresort.info/ski-resort/timberline-mountain/,95.0,3268,4268,1001,11,West Virginia,2
Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,79.0,4997,7598,2602,19,Montana,6
Mountain Creek,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,99.99,440,1480,1040,15,New Jersey,7
Haystack Mountain – The Hermitage Club,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,,1804,3199,1394,12,Vermont,5
The Summit at Snoqualmie: Summit Areas,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,140.0,2625,3871,1247,17,Washington,22
Mount Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,80.0,3888,5889,2001,16,Washington,7
Monarch,https://www.skiresort.info/ski-resort/monarch/,139.0,10794,11909,1115,23,Colorado,6
Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,90.0,997,2198,1201,12,New York,5
Silverton Mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,269.0,10325,12434,2110,,Colorado,1
Pleasant Mountain,https://www.skiresort.info/ski-resort/pleasant-mountain/,95.0,525,1804,1280,14,Maine,6
Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,99.0,591,1398,807,21,New Hampshire,9
Wachusett Mountain,https://www.skiresort.info/ski-resort/wachusett-mountain/,107.0,1004,2005,1001,7,Massachusetts,4
Titus Mountain,https://www.skiresort.info/ski-resort/titus-mountain/,79.0,1060,2024,965,17,New York,9
Sugar Mountain,https://www.skiresort.info/ski-resort/sugar-mountain/,94.0,4098,5213,1115,9,North Carolina,7
Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,164.0,8199,9199,1001,12,Colorado,5
Magic Mountain (Vermont),https://www.skiresort.info/ski-resort/magic-mountain/,89.0,1148,2848,1699,14,Vermont,5
Mount Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,99.0,5479,7497,2018,14,California,6
Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,65.0,8999,10440,1440,16,New Mexico,6
Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,180.0,6699,8537,1837,10,,7
Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,49.0,6496,8517,2021,12,Montana,1
Boreal,https://www.skiresort.info/ski-resort/boreal/,119,7201,7733,531,12,California,6
Ski Cooper,https://www.skiresort.info/ski-resort/cooper/,110.0,10499,11699,1201,16,Colorado,4
Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,114.0,2024,3428,1404,12,New York,9
Soldier Mountain,https://www.skiresort.info/ski-resort/soldier-mountain/,69.0,5807,7178,1371,16,Idaho,3
Mountain High: East,https://www.skiresort.info/ski-resort/mountain-high-east/,149.0,6594,8189,1594,7,California,4
Mount Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,115.0,6486,8596,2110,12,California,4
Holimont,https://www.skiresort.info/ski-resort/holimont/,114.0,1558,2260,702,12,New York,8
Butternut,https://www.skiresort.info/ski-resort/butternut/,85.0,820,1772,951,14,Massachusetts,5
Pebble Creek,https://www.skiresort.info/ski-resort/pebble-creek/,76.0,6358,8560,2201,12,Idaho,3
Sunlight Mountain,https://www.skiresort.info/ski-resort/sunlight-mountain/,104.0,7884,9892,2008,12,Colorado,3
Mount Baker,https://www.skiresort.info/ski-resort/mt-baker/,94.27,3510,5105,1594,16,Washington,10
Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,89.0,1217,3199,1982,6,Vermont,5
Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,99.0,820,1240,420,9,Wisconsin,10
Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,55.0,7382,8645,1263,12,Utah,3
Spirit Mountain,https://www.skiresort.info/ski-resort/spirit-mountain/,86.0,689,1280,591,7,Minnesota,5
Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,111.0,2264,3002,738,11,Pennsylvania,10
Red River,https://www.skiresort.info/ski-resort/red-river/,129.0,8661,10285,1624,12,New Mexico,7
Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,55.0,2500,3898,1398,16,Alaska,4
Nordic Valley,https://www.skiresort.info/ski-resort/nordic-valley/,72.0,5354,7064,1709,6,Utah,4
Showdown,https://www.skiresort.info/ski-resort/showdown/,68.0,6857,8202,1345,12,Montana,4
Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,90.0,9098,10597,1499,12,Utah,5
Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,110.0,620,1119,499,9,Michigan,10
Mountain High: West,https://www.skiresort.info/ski-resort/mountain-high-west/,149.0,6923,7907,984,9,California,5
Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,115.0,1148,2100,951,12,New York,6
Wintergreen Resort,https://www.skiresort.info/ski-resort/wintergreen-resort/,139.0,2513,3514,1001,6,Virginia,5
Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,85.0,476,1148,673,11,Pennsylvania,6
BigRock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,60.0,656,1634,978,12,Maine,2
Antelope Butte,https://www.skiresort.info/ski-resort/antelope-butte/,69.0,8399,9400,1001,13,Wyoming,3
Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,65.0,6873,8228,1355,10,Wyoming,1
The Summit at Snoqualmie: Alpental,https://www.skiresort.info/ski-resort/alpental/,140.0,3156,5479,2323,6,Washington,4
Berkshire East,https://www.skiresort.info/ski-resort/berkshire-east/,99.0,659,1841,1181,8,Massachusetts,5
Wisp,https://www.skiresort.info/ski-resort/wisp-mchenry-deep-creek-lake/,129.0,2415,3117,702,10,Maryland,8
Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,88.0,1240,1706,466,11,New York,8
Dartmouth Skiway,https://www.skiresort.info/ski-resort/dartmouth-skiway/,65.0,974,1942,968,10,New Hampshire,4
Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,74.0,1181,1870,689,11,New York,4
Snowy Range,https://www.skiresort.info/ski-resort/snowy-range/,69.0,8786,9662,876,10,Wyoming,4
Eaglecrest,https://www.skiresort.info/ski-resort/eaglecrest-juneau/,75.0,1148,2690,1542,11,Alaska,4
Skiland – Mt. Aurora,https://www.skiresort.info/ski-resort/skiland-mt-aurora/,55.0,1394,2444,1050,11,Alaska,1
Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,85.0,4692,5709,1017,11,Oregon,5
Blacktail Mountain,https://www.skiresort.info/ski-resort/blacktail-mountain/,80.0,5338,6778,1440,11,Montana,4
Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,90.0,2080,3150,1070,10,Pennsylvania,4
Turner Mountain,https://www.skiresort.info/ski-resort/turner-mountain/,45.0,3842,5951,2110,9,Montana,1
Nub’s Nob Ski Area,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,110.0,919,1322,404,12,Michigan,11
Giants Ridge,https://www.skiresort.info/ski-resort/giants-ridge/,64.0,1444,1837,394,7,Minnesota,6
Whitecap Mountains,https://www.skiresort.info/ski-resort/whitecap-mountains/,85.0,1447,1768,322,9,Wisconsin,6
Sipapu,https://www.skiresort.info/ski-resort/sipapu/,72.0,8202,9268,1066,11,New Mexico,5
Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,65.0,1821,2657,837,9,Vermont,3
Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,68.0,7736,8661,925,9,Idaho,2
Beech Mountain,https://www.skiresort.info/ski-resort/beech-mountain/,79.0,4672,5505,833,9,North Carolina,8
Mount Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,79.0,6339,7500,1161,8,Oregon,5
Catamount,https://www.skiresort.info/ski-resort/catamount/,105.0,902,1903,1001,9,New York,5
Elk Mountain,https://www.skiresort.info/ski-resort/elk-mountain/,89.0,1706,2690,984,9,Pennsylvania,7
Sleeping Giant,https://www.skiresort.info/ski-resort/sleeping-giant/,70.0,6644,7431,787,11,Wyoming,3
Whitetail,https://www.skiresort.info/ski-resort/whitetail/,128.0,856,1788,932,6,Pennsylvania,6
Plattekill,https://www.skiresort.info/ski-resort/plattekill/,98.0,2283,3327,1043,10,New York,4
Tenney Mountain,https://www.skiresort.info/ski-resort/tenney-mountain/,85.0,748,2149,1401,9,New Hampshire,5
Black Mountain – Rumford,https://www.skiresort.info/ski-resort/black-mountain-rumford/,60.0,1001,2100,1099,9,Maine,3
Mount Bohemia,https://www.skiresort.info/ski-resort/mt-bohemia/,95.0,623,1460,837,8,Michigan,2
Tahoe Donner,https://www.skiresort.info/ski-resort/tahoe-donner/,110.0,6749,7349,600,9,,2
Song Mountain,https://www.skiresort.info/ski-resort/song-mountain/,85.0,1312,1919,607,8,New York,5
Jiminy Peak,https://www.skiresort.info/ski-resort/jiminy-peak/,109.0,1247,2375,1129,6,Massachusetts,7
Kelly Canyon,https://www.skiresort.info/ski-resort/kelly-canyon/,79.0,5807,6660,853,7,Idaho,5
Mount Abram,https://www.skiresort.info/ski-resort/mt-abram/,39.0,951,2001,1050,9,Maine,4
Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,70.0,4068,5315,1247,7,Washington,3
Shanty Creek Resorts – Schuss Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,96.0,820,1168,348,7,Michigan,8
Snowriver: Jackson Creek Summit,https://www.skiresort.info/ski-resort/jackson-creek-summit-snowriver-mountain-resort/,119.0,1296,1936,640,6,Michigan,7
Bluewood,https://www.skiresort.info/ski-resort/bluewood/,65.0,4544,5669,1125,7,Washington,5
Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,94.0,1188,2067,879,5,New Hampshire,4
Teton Pass,https://www.skiresort.info/ski-resort/teton-pass/,59.0,6188,7198,1010,9,Montana,6
Mount Kato,https://www.skiresort.info/ski-resort/mt-kato/,59.0,791,1027,236,7,Minnesota,10
Jack Frost Mountain,https://www.skiresort.info/ski-resort/jack-frost-mountain/,105.0,1401,2001,600,7,Pennsylvania,8
White Pine,https://www.skiresort.info/ski-resort/white-pine-pinedale/,65.0,8501,9501,1001,7,Wyoming,3
Caberfae Peaks,https://www.skiresort.info/ski-resort/caberfae-peaks/,79.0,1171,1532,361,7,Michigan,5
Deer Mountain,https://www.skiresort.info/ski-resort/deer-mountain/,,6040,6654,614,7,South Dakota,3
Wasatch Peaks Ranch,https://www.skiresort.info/ski-resort/wasatch-peaks-ranch/,,5971,9567,3596,,Utah,5
Bittersweet,https://www.skiresort.info/ski-resort/bittersweet/,72.0,715,1063,348,4,Michigan,11
Black Mountain – Jackson,https://www.skiresort.info/ski-resort/black-mountain-jackson/,99.0,1234,2247,1014,7,New Hampshire,5
Devil’s Head,https://www.skiresort.info/ski-resort/devils-head/,95.0,492,994,502,6,Wisconsin,6
Massanutten,https://www.skiresort.info/ski-resort/massanutten/,95.0,1749,2858,1109,5,Virginia,7
Bear Creek Mountain Resort,https://www.skiresort.info/ski-resort/bear-creek-mountain-resort/,85.0,591,1099,509,6,Pennsylvania,4
Saskadena Six,https://www.skiresort.info/ski-resort/saskadena-six/,109.0,722,1348,627,7,Vermont,3
Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,89.0,1148,1772,623,6,Michigan,11
Magic Mountain (Idaho),https://www.skiresort.info/ski-resort/magic-mountain-resort/,40.0,6499,7241,741,7,Idaho,2
Canaan Valley,https://www.skiresort.info/ski-resort/canaan-valley/,90.0,3428,4278,850,6,West Virginia,4
Cloudcroft,https://www.skiresort.info/ski-resort/cloudcroft/,65.0,8399,9098,699,6,New Mexico,2
Whaleback,https://www.skiresort.info/ski-resort/whaleback/,50.0,1138,1781,643,7,New Hampshire,3
Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,62.0,8481,9278,797,6,Wyoming,3
Swain,https://www.skiresort.info/ski-resort/swain/,79.0,1312,1969,656,7,New York,5
Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,80,6955,8005,1050,6,California,3
Mount Holly,https://www.skiresort.info/ski-resort/mt-holly/,69.0,968,1247,279,4,Michigan,13
Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,84.0,591,1165,574,6,Pennsylvania,6
Cooper Spur,https://www.skiresort.info/ski-resort/cooper-spur/,49.0,3999,4347,348,6,Oregon,1
Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,89.0,935,1949,1014,6,Pennsylvania,5
Oak Mountain,https://www.skiresort.info/ski-resort/oak-mountain/,56.0,1749,2402,653,7,New York,4
Hidden Valley (Pennsylvania),https://www.skiresort.info/ski-resort/hidden-valley-pa/,76.0,2395,2920,525,6,Pennsylvania,6
Soda Springs,https://www.skiresort.info/ski-resort/soda-springs/,70.0,6759,7323,564,6,,2
West Mountain,https://www.skiresort.info/ski-resort/west-mountain/,89.0,449,1427,978,6,New York,5
Warner Canyon,https://www.skiresort.info/ski-resort/warner-canyon-lakeview/,40.0,5699,6480,781,6,Oregon,1
Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,80.0,787,1280,492,6,Michigan,4
Pine Mountain,https://www.skiresort.info/ski-resort/pine-mountain/,69.0,1148,1512,364,6,Michigan,4
Winterplace,https://www.skiresort.info/ski-resort/winterplace/,85.0,2995,3599,604,6,West Virginia,10
Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,50.0,7100,7999,899,6,Oregon,2
Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,4199,5279,1079,6,Montana,2
Peek’N Peak,https://www.skiresort.info/ski-resort/peekn-peak/,76.0,1411,1755,344,7,New York,10
Otsego,https://www.skiresort.info/ski-resort/otsego-gaylord/,75.0,1086,1385,299,4,Michigan,6
Bousquet,https://www.skiresort.info/ski-resort/bousquet/,80.0,1109,1857,748,5,Massachusetts,2
Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,81.0,919,1490,571,5,Connecticut,5
Royal Mountain,https://www.skiresort.info/ski-resort/royal-mountain/,60.0,1201,1775,574,5,New York,3
Buffalo Ski Center,https://www.skiresort.info/ski-resort/buffalo/,57.0,1007,1483,476,7,New York,6
